Round,Pick,Player,Position,Team,League Member,Comments,,,,,,,,,,,,,,,
7,67,Jayden Reed,WR,GB,Joe,"""JAYDEN REED IS GOING TO BE REALLY GOOD"" COLIN; ""I think my old crew may blow you into oblivion"" Colin; ""Is it always Colin's turn? Or does your marco on this shit just suck?"" Kyle ""We can't all take two Tes though"" Elbe to Joe; ",,,,,,,,,,,,,,,
7,68,Jaylen Warren,RB,PIT,Scott,"""When they reclassify him…[I'm going to be great]"" Joe about Tes; ""Scotty my scouting report says their Oline is hot trash"" Joe",,,,,,,,,,,,,,,
7,69,Tony Pollard,RB,TEN,Greg,"[Colin takes snap chat and drops his phone] ; ""Where was he taken last year?"" Greg ""I kept him"" Stefan",,,,,,,,,,,,,,,
7,70,Joe Burrow,QB,CIN,Josh,,,,,,,,,,,,,,,,
8,71,Najee Harris,RB,PIT,Stefan,"""Josh took slim shady"" Elbe, in reference to Burrow",,,,,,,,,,,,,,,
8,72,Anthony Richardson,QB,IND,Greg,,,,,,,,,,,,,,,,
8,73,Jake Ferguson,TE,DAL,Scott,,,,,,,,,,,,,,,,
8,74,Devin Singletary,RB,NYG,Joe,"""Give me Devin fucking Singletary…"" Joe ""You like that?"" Elbe ""No"" Joe ",,,,,,,,,,,,,,,
8,75,Tyjae Spears,RB,TeN,Witte,,,,,,,,,,,,,,,,
8,76,Rome Odunze,WR,CHI,Elbe,,,,,,,,,,,,,,,,
8,77,Chase Brown,RB,CIN,Kyle,,,,,,,,,,,,,,,,
8,78,Jonathon Brooks,RB,CAR,Colin,"""That boy got a broke dick or something"" Joe",,,,,,,,,,,,,,,
8,79,Brock Bowers,TE,LAV,Josh,[Pee break for everyone at Stefans],,,,,,,,,,,,,,,
8,80,Ladd McConkey,WR,LAC,Zach,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
9,81,Nick Chubb,RB,CLE,Zach,"""If you're in new orleans, get a BJ from an old lady"" Elbe [talk ensues of Joe skull fjucking a 55+ year old in an alley]; [In reference to chubb pick, ""That's what he should be doing"" Kyle",,,,,,,,,,,,,,,
9,82,Brian robinson Jr.,RB,WAS,Josh,"""Who did Josh take"" Colin ""Brian Robinson"" group ""Who did Josh take?"" Colin ""Brian Robison"" again",,,,,,,,,,,,,,,
9,83,CJ Stroud,QB,HOU,Colin,,,,,,,,,,,,,,,,
9,84,Kyren Williams,RB,LAR,Kyle,,,,,,,,,,,,,,,,
9,85,Michael Pittman JR,WR,IND,Elbe,,,,,,,,,,,,,,,,
9,86,Brian Thomas Jr.,WR,JAX,Witte,,,,,,,,,,,,,,,,
